rank,hostname,cpu_id,cpu_affinity,cpu_numa_node,gpu_id,gpu_pci_bus_id,gpu_pci_numa_node,status,payload_bytes,payload_type,direction,iters,host_buf_numa_node,variant,page_policy,reg_mode,src_pages,dst_pages,dst_pages_after,lat_min_us,lat_p25_us,lat_median_us,lat_p75_us,lat_iqr_us,lat_max_us,lat_mean_us,lat_stddev_us,bw_gibs_min,bw_gibs_p25,bw_gibs_median,bw_gibs_p75,bw_gibs_iqr,bw_gibs_max,bw_gibs_mean,bw_gibs_stddev,bw_gbps_median,gpu_dma_time_median_us
0,"n23g0009.hpc.itc.rwth-aachen.de",12,"12,13,14,15,16,17,18,19,20,21,22,23",1,0,0000:1b:00.0,0,"OK",4096,"latency","H2D",50,1,"fwd-n1-alloc",-1,3,"1:1","1:1","1:1",10.326,10.701,10.8685,11.095,0.394,18.859,11.1186,1.198,0.202275,0.343822,0.350987,0.356481,0.0126588,0.369426,0.34568,0.0244336,0.376869,5.184
0,"n23g0009.hpc.itc.rwth-aachen.de",12,"12,13,14,15,16,17,18,19,20,21,22,23",1,0,0000:1b:00.0,0,"OK",4096,"latency","D2H",50,1,"fwd-n1-alloc",-1,3,"1:1","1:1","1:1",10.118,10.3818,10.551,10.7455,0.36375,18.218,11.0265,1.82723,0.209392,0.355005,0.361549,0.367443,0.0124382,0.377021,0.352068,0.0370572,0.38821,4.928
0,"n23g0009.hpc.itc.rwth-aachen.de",12,"12,13,14,15,16,17,18,19,20,21,22,23",1,0,0000:1b:00.0,0,"OK",67108864,"bandwidth","H2D",50,1,"fwd-n1-alloc",-1,3,"1:16384","1:16384","1:16384",1411.52,1415.72,1417.72,1418.8,3.075,1420.75,1417.33,2.20828,43.9908,44.0515,44.0849,44.1471,0.0956815,44.2784,44.097,0.0687589,47.3359,1411.71
0,"n23g0009.hpc.itc.rwth-aachen.de",12,"12,13,14,15,16,17,18,19,20,21,22,23",1,0,0000:1b:00.0,0,"OK",67108864,"bandwidth","D2H",50,1,"fwd-n1-alloc",-1,3,"1:16384","1:16384","1:16384",1558.78,1566.28,1569.41,1572.07,5.78425,1584.12,1569.43,5.02604,39.454,39.7566,39.8238,39.9034,0.14682,40.0954,39.8238,0.12748,42.7605,1563.31
0,"n23g0009.hpc.itc.rwth-aachen.de",12,"12,13,14,15,16,17,18,19,20,21,22,23",1,0,0000:1b:00.0,0,"OK",268435456,"bandwidth","H2D",50,1,"fwd-n1-alloc",-1,3,"1:65536","1:65536","1:65536",5631.08,5637.89,5641.64,5643.46,5.57025,5648.81,5640.61,4.46267,44.2571,44.2991,44.3134,44.3429,0.0437676,44.3965,44.3215,0.0350757,47.5811,5635.09
0,"n23g0009.hpc.itc.rwth-aachen.de",12,"12,13,14,15,16,17,18,19,20,21,22,23",1,0,0000:1b:00.0,0,"OK",268435456,"bandwidth","D2H",50,1,"fwd-n1-alloc",-1,3,"1:65536","1:65536","1:65536",6184.72,6192.32,6198.52,6201.89,9.5665,6211.05,6197.59,6.75167,40.2509,40.3103,40.3322,40.3726,0.0622753,40.4222,40.3383,0.0439478,43.3064,6192.51
0,"n23g0009.hpc.itc.rwth-aachen.de",24,"24,25,26,27,28,29,30,31,32,33,34,35",2,0,0000:1b:00.0,0,"OK",4096,"latency","H2D",50,2,"fwd-n2-alloc",-1,3,"2:1","2:1","2:1",10.319,10.693,10.8525,10.979,0.286,18.359,11.0637,1.13538,0.207783,0.347454,0.351504,0.356747,0.00929316,0.369677,0.347193,0.02374,0.377425,5.2
0,"n23g0009.hpc.itc.rwth-aachen.de",24,"24,25,26,27,28,29,30,31,32,33,34,35",2,0,0000:1b:00.0,0,"OK",4096,"latency","D2H",50,2,"fwd-n2-alloc",-1,3,"2:1","2:1","2:1",10.086,10.374,10.4895,10.6217,0.24775,10.858,10.4886,0.193601,0.351326,0.35914,0.363668,0.367717,0.00857707,0.378217,0.363825,0.00672226,0.390486,4.96
0,"n23g0009.hpc.itc.rwth-aachen.de",24,"24,25,26,27,28,29,30,31,32,33,34,35",2,0,0000:1b:00.0,0,"OK",67108864,"bandwidth","H2D",50,2,"fwd-n2-alloc",-1,3,"2:16384","2:16384","2:16384",1613.7,1617.36,1619.5,1621.25,3.8945,1626.2,1619.44,2.71748,38.4331,38.5504,38.5921,38.6433,0.0928271,38.7308,38.5937,0.064731,41.438,1613.39
0,"n23g0009.hpc.itc.rwth-aachen.de",24,"24,25,26,27,28,29,30,31,32,33,34,35",2,0,0000:1b:00.0,0,"OK",67108864,"bandwidth","D2H",50,2,"fwd-n2-alloc",-1,3,"2:16384","2:16384","2:16384",2163.01,2168.83,2170.26,2171.77,2.9385,2174.83,2170.07,2.27821,28.7379,28.7784,28.7984,28.8174,0.0389912,28.895,28.8009,0.0302524,30.922,2163.98
