target_rank,target_host,sender_rank,sender_host,sender_cpu,sender_affinity,payload_bytes,iters,lat_min_us,lat_p25_us,lat_median_us,lat_mean_us,lat_p75_us,lat_p95_us,lat_max_us
0,"n23m0123.hpc.itc.rwth-aachen.de",97,"r23m0124.hpc.itc.rwth-aachen.de",1,"1",64,20,0.06,0.062,0.0755,0.15455,0.25225,0.31865,0.369
0,"n23m0123.hpc.itc.rwth-aachen.de",98,"r23m0124.hpc.itc.rwth-aachen.de",2,"2",64,20,0.06,0.0735,0.098,0.152,0.24575,0.26515,0.268
0,"n23m0123.hpc.itc.rwth-aachen.de",99,"r23m0124.hpc.itc.rwth-aachen.de",3,"3",64,20,0.056,0.06375,0.065,0.1095,0.11475,0.25055,0.261
0,"n23m0123.hpc.itc.rwth-aachen.de",100,"r23m0124.hpc.itc.rwth-aachen.de",4,"4",64,20,0.058,0.06,0.0615,0.12695,0.2125,0.2548,0.27
0,"n23m0123.hpc.itc.rwth-aachen.de",101,"r23m0124.hpc.itc.rwth-aachen.de",5,"5",64,20,0.061,0.06575,0.0845,0.14435,0.26,0.28305,0.284
0,"n23m0123.hpc.itc.rwth-aachen.de",102,"r23m0124.hpc.itc.rwth-aachen.de",6,"6",64,20,0.06,0.06275,0.065,0.12905,0.23975,0.26955,0.299
0,"n23m0123.hpc.itc.rwth-aachen.de",103,"r23m0124.hpc.itc.rwth-aachen.de",7,"7",64,20,0.061,0.063,0.0665,0.13855,0.23725,0.278,0.316
0,"n23m0123.hpc.itc.rwth-aachen.de",104,"r23m0124.hpc.itc.rwth-aachen.de",8,"8",64,20,0.062,0.06575,0.0875,0.14675,0.236,0.2649,0.301
0,"n23m0123.hpc.itc.rwth-aachen.de",105,"r23m0124.hpc.itc.rwth-aachen.de",9,"9",64,20,0.06,0.066,0.0855,0.15355,0.25325,0.3016,0.389
0,"n23m0123.hpc.itc.rwth-aachen.de",106,"r23m0124.hpc.itc.rwth-aachen.de",10,"10",64,20,0.06,0.062,0.0725,0.1394,0.2245,0.3014,0.309
0,"n23m0123.hpc.itc.rwth-aachen.de",107,"r23m0124.hpc.itc.rwth-aachen.de",11,"11",64,20,0.059,0.06525,0.1495,0.15625,0.2375,0.29305,0.294
0,"n23m0123.hpc.itc.rwth-aachen.de",108,"r23m0124.hpc.itc.rwth-aachen.de",12,"12",64,20,0.06,0.06275,0.077,0.13205,0.21075,0.2598,0.275
0,"n23m0123.hpc.itc.rwth-aachen.de",109,"r23m0124.hpc.itc.rwth-aachen.de",13,"13",64,20,0.059,0.06175,0.076,0.14475,0.22875,0.29785,0.333
0,"n23m0123.hpc.itc.rwth-aachen.de",110,"r23m0124.hpc.itc.rwth-aachen.de",14,"14",64,20,0.059,0.061,0.066,0.11455,0.13625,0.25145,0.317
0,"n23m0123.hpc.itc.rwth-aachen.de",111,"r23m0124.hpc.itc.rwth-aachen.de",15,"15",64,20,0.056,0.06,0.0625,0.148,0.24225,0.27435,0.319
0,"n23m0123.hpc.itc.rwth-aachen.de",112,"r23m0124.hpc.itc.rwth-aachen.de",16,"16",64,20,0.058,0.06,0.0615,0.1291,0.227,0.29935,0.306
0,"n23m0123.hpc.itc.rwth-aachen.de",113,"r23m0124.hpc.itc.rwth-aachen.de",17,"17",64,20,0.059,0.0625,0.142,0.16625,0.25225,0.33735,0.344
0,"n23m0123.hpc.itc.rwth-aachen.de",114,"r23m0124.hpc.itc.rwth-aachen.de",18,"18",64,20,0.058,0.06075,0.0885,0.1469,0.22825,0.28085,0.449
0,"n23m0123.hpc.itc.rwth-aachen.de",115,"r23m0124.hpc.itc.rwth-aachen.de",19,"19",64,20,0.059,0.0615,0.09,0.152,0.247,0.30195,0.32
0,"n23m0123.hpc.itc.rwth-aachen.de",116,"r23m0124.hpc.itc.rwth-aachen.de",20,"20",64,20,0.06,0.063,0.0765,0.1386,0.211,0.2895,0.337
0,"n23m0123.hpc.itc.rwth-aachen.de",117,"r23m0124.hpc.itc.rwth-aachen.de",21,"21",64,20,0.059,0.06175,0.0655,0.13445,0.2395,0.2655,0.275
0,"n23m0123.hpc.itc.rwth-aachen.de",118,"r23m0124.hpc.itc.rwth-aachen.de",22,"22",64,20,0.06,0.06075,0.084,0.14905,0.23775,0.3204,0.366
0,"n23m0123.hpc.itc.rwth-aachen.de",119,"r23m0124.hpc.itc.rwth-aachen.de",23,"23",64,20,0.057,0.06275,0.0685,0.1356,0.2215,0.2989,0.392
0,"n23m0123.hpc.itc.rwth-aachen.de",120,"r23m0124.hpc.itc.rwth-aachen.de",24,"24",64,20,0.06,0.06375,0.0915,0.1468,0.247,0.2782,0.301
0,"n23m0123.hpc.itc.rwth-aachen.de",121,"r23m0124.hpc.itc.rwth-aachen.de",25,"25",64,20,0.065,0.067,0.0905,0.1545,0.254,0.2772,0.3
0,"n23m0123.hpc.itc.rwth-aachen.de",122,"r23m0124.hpc.itc.rwth-aachen.de",26,"26",64,20,0.06,0.06275,0.065,0.1482,0.25575,0.30705,0.346
0,"n23m0123.hpc.itc.rwth-aachen.de",123,"r23m0124.hpc.itc.rwth-aachen.de",27,"27",64,20,0.061,0.06375,0.084,0.1387,0.2285,0.26835,0.275
0,"n23m0123.hpc.itc.rwth-aachen.de",124,"r23m0124.hpc.itc.rwth-aachen.de",28,"28",64,20,0.065,0.067,0.069,0.14385,0.241,0.3701,0.372
0,"n23m0123.hpc.itc.rwth-aachen.de",125,"r23m0124.hpc.itc.rwth-aachen.de",29,"29",64,20,0.06,0.06325,0.1245,0.1646,0.26625,0.32045,0.329
0,"n23m0123.hpc.itc.rwth-aachen.de",126,"r23m0124.hpc.itc.rwth-aachen.de",30,"30",64,20,0.055,0.0595,0.0745,0.13505,0.2385,0.29345,0.359
0,"n23m0123.hpc.itc.rwth-aachen.de",127,"r23m0124.hpc.itc.rwth-aachen.de",31,"31",64,20,0.06,0.0635,0.089,0.17235,0.2355,0.29905,0.775
0,"n23m0123.hpc.itc.rwth-aachen.de",128,"r23m0124.hpc.itc.rwth-aachen.de",32,"32",64,20,0.059,0.063,0.0655,0.13355,0.247,0.28765,0.376
0,"n23m0123.hpc.itc.rwth-aachen.de",129,"r23m0124.hpc.itc.rwth-aachen.de",33,"33",64,20,0.056,0.061,0.0745,0.14575,0.23775,0.2832,0.287
0,"n23m0123.hpc.itc.rwth-aachen.de",130,"r23m0124.hpc.itc.rwth-aachen.de",34,"34",64,20,0.061,0.07275,0.0995,0.16035,0.273,0.30845,0.317
0,"n23m0123.hpc.itc.rwth-aachen.de",131,"r23m0124.hpc.itc.rwth-aachen.de",35,"35",64,20,0.058,0.063,0.094,0.16055,0.264,0.31785,0.467
0,"n23m0123.hpc.itc.rwth-aachen.de",132,"r23m0124.hpc.itc.rwth-aachen.de",36,"36",64,20,0.057,0.0635,0.0975,0.14515,0.23125,0.29115,0.37
0,"n23m0123.hpc.itc.rwth-aachen.de",133,"r23m0124.hpc.itc.rwth-aachen.de",37,"37",64,20,0.06,0.06375,0.118,0.14475,0.2345,0.26075,0.275
0,"n23m0123.hpc.itc.rwth-aachen.de",134,"r23m0124.hpc.itc.rwth-aachen.de",38,"38",64,20,0.064,0.06575,0.075,0.1203,0.132,0.28585,0.321
0,"n23m0123.hpc.itc.rwth-aachen.de",135,"r23m0124.hpc.itc.rwth-aachen.de",39,"39",64,20,0.058,0.06175,0.0675,0.1249,0.2045,0.29125,0.296
0,"n23m0123.hpc.itc.rwth-aachen.de",136,"r23m0124.hpc.itc.rwth-aachen.de",40,"40",64,20,0.06,0.062,0.0755,0.1585,0.24275,0.34855,0.72
0,"n23m0123.hpc.itc.rwth-aachen.de",137,"r23m0124.hpc.itc.rwth-aachen.de",41,"41",64,20,0.058,0.062,0.1045,0.1624,0.26075,0.3456,0.376
0,"n23m0123.hpc.itc.rwth-aachen.de",138,"r23m0124.hpc.itc.rwth-aachen.de",42,"42",64,20,0.059,0.061,0.0665,0.1356,0.2265,0.26295,0.319
0,"n23m0123.hpc.itc.rwth-aachen.de",139,"r23m0124.hpc.itc.rwth-aachen.de",43,"43",64,20,0.058,0.06175,0.0815,0.1411,0.23375,0.2887,0.302
0,"n23m0123.hpc.itc.rwth-aachen.de",140,"r23m0124.hpc.itc.rwth-aachen.de",44,"44",64,20,0.062,0.064,0.0705,0.15525,0.2515,0.4762,0.651
0,"n23m0123.hpc.itc.rwth-aachen.de",141,"r23m0124.hpc.itc.rwth-aachen.de",45,"45",64,20,0.064,0.0665,0.0715,0.1443,0.26025,0.2914,0.318
0,"n23m0123.hpc.itc.rwth-aachen.de",142,"r23m0124.hpc.itc.rwth-aachen.de",46,"46",64,20,0.059,0.062,0.0975,0.146,0.248,0.2983,0.342
0,"n23m0123.hpc.itc.rwth-aachen.de",143,"r23m0124.hpc.itc.rwth-aachen.de",47,"47",64,20,0.056,0.06525,0.123,0.14705,0.2305,0.2711,0.292
0,"n23m0123.hpc.itc.rwth-aachen.de",144,"r23m0124.hpc.itc.rwth-aachen.de",48,"48",64,20,0.06,0.0985,0.15,0.16905,0.2445,0.32345,0.427
0,"n23m0123.hpc.itc.rwth-aachen.de",145,"r23m0124.hpc.itc.rwth-aachen.de",49,"49",64,20,0.074,0.12975,0.1575,0.18795,0.25175,0.3282,0.408
0,"n23m0123.hpc.itc.rwth-aachen.de",146,"r23m0124.hpc.itc.rwth-aachen.de",50,"50",64,20,0.059,0.06375,0.111,0.14355,0.19125,0.27105,0.367
