pattern,target_rank,active_workers,worker_rank,worker_host,is_remote,payload_bytes,iters,lat_min_us,lat_p25_us,lat_median_us,lat_mean_us,lat_p75_us,lat_p95_us,lat_max_us
fanout,0,16,168,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,1375.05,1378.52,1379.62,1380.29,1381.13,1387.32,1390.03
fanout,0,16,180,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,1377.02,1379.67,1380.64,1381.28,1382.2,1386.64,1390.82
full_duplex,0,16,1,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,2749.79,4882.65,5007.12,4928.15,5112.46,5390.17,5604.99
full_duplex,0,16,12,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,3766.2,3957.58,4426.99,4421.49,4886.73,5108.21,5444.3
full_duplex,0,16,24,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,3443.52,3945.46,4597.63,4425.85,4801.82,5113.7,5439.38
full_duplex,0,16,36,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,4741.87,5205.37,5306.64,5306.88,5429.58,5508.26,5605.28
full_duplex,0,16,48,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,4787.28,5315.36,5452.27,5413.11,5521.82,5634.76,5642.44
full_duplex,0,16,60,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,3907.28,5327.88,5398.37,5375.71,5496.91,5590.47,5696.56
full_duplex,0,16,72,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,4121.27,5161.46,5284.46,5235.39,5368.26,5488.56,5570.46
full_duplex,0,16,84,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,4130.24,5077.37,5247.11,5213.91,5367.36,5452.09,5516.38
full_duplex,0,16,96,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,2963.47,3810.18,4091.35,4063.58,4306.42,4735.71,4785.27
full_duplex,0,16,108,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,3114.34,3794.45,4149.84,4118.11,4442.4,4724.1,4833.55
full_duplex,0,16,120,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,3326.56,4147.79,4353.05,4349.79,4567.36,4823.58,4914.37
full_duplex,0,16,132,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,3171.51,3398.71,3567.87,3609.11,3752.25,4310.54,4523.34
full_duplex,0,16,144,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,3236.31,3656.27,3897.92,3952.29,4277.83,4615.7,4761.58
full_duplex,0,16,156,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,3300.89,3987.55,4228.27,4216.43,4480.93,4747.31,4803.27
full_duplex,0,16,168,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,3195.11,3473.34,3623.4,3681.72,3864.08,4144.12,4552.94
full_duplex,0,16,180,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,3330.06,3825.07,4263.72,4205.03,4631.72,4800.01,4863
immediate_response,0,16,1,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,3976.01,4251.28,4352.39,4640.8,4672.79,6301.66,6493.92
immediate_response,0,16,12,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,3731.34,4725.01,5045.22,4956.92,5237.98,5608.01,6056.57
immediate_response,0,16,24,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,3823.16,5059.16,5343.43,5258.81,5533.68,5827.71,6267.79
immediate_response,0,16,36,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,5429.84,6049.53,6235.29,6215.79,6445.46,6589.83,6687.32
immediate_response,0,16,48,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,5548.21,6052.97,6312.99,6255.4,6469.35,6640.08,6706.08
immediate_response,0,16,60,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,5511.01,6081.62,6298.61,6258.46,6466.08,6628.45,6704.86
immediate_response,0,16,72,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,5266.26,5867.79,6061.26,6047.08,6292.04,6478.7,6558.06
immediate_response,0,16,84,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,4887.35,5652.64,5852.57,5825.15,6060.52,6285.35,6493.98
immediate_response,0,16,96,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,2696.39,3284.14,3449.65,3436.59,3660.82,3761.42,4590.65
immediate_response,0,16,108,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,2420.56,3263.12,3465.15,3462.23,3633.66,3779.58,4793.21
immediate_response,0,16,120,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,3091.28,3360.46,3530.45,3541.71,3667.15,3895.31,4294
immediate_response,0,16,132,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,2389.34,2799.9,3015.99,3012.91,3238.75,3540.86,3714.49
immediate_response,0,16,144,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,2616.67,3142.88,3404.54,3351.6,3619.02,3693.34,4005.85
immediate_response,0,16,156,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,2606.28,3358.41,3563.57,3556.39,3684.27,4273.99,5023.43
immediate_response,0,16,168,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,2599.97,2893.64,3071.62,3080.66,3204.31,3497.56,4512.77
immediate_response,0,16,180,"n23m0236.hpc.itc.rwth-aachen.de",1,4194304,50,2540.2,2910.57,3223.04,3205.35,3473.9,3611.02,4292.43
incast,0,24,1,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,4903.54,5472.97,5624.04,5906.35,5900.21,7924.26,8428.52
incast,0,24,8,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,5450.22,6859.62,7030.45,7037.36,7363.37,8069.28,8271.48
incast,0,24,16,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,5511.06,7264.85,7537.07,7484.81,7703.04,7981.43,8560.26
incast,0,24,24,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,5449.05,7424.13,7694.03,7572.74,7826.75,7972.87,8314.85
incast,0,24,32,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,7693.3,8135.66,8296.98,8276.82,8447.09,8706.29,9095.48
incast,0,24,40,"n23m0223.hpc.itc.rwth-aachen.de",0,4194304,50,7615.09,8101.45,8299.24,8278.58,8409.96,8679.93,9015.5
