pattern,target_rank,target_host,target_cpu,active_workers,local_workers,remote_workers,payload_bytes,iters,makespan_min_ms,makespan_p25_ms,makespan_median_ms,makespan_mean_ms,makespan_p75_ms,makespan_p95_ms,makespan_max_ms,ingress_bw_median_gibs,egress_bw_median_gibs,combined_bw_median_gibs,worker_lat_median_us,worker_lat_p95_us,worker_lat_max_us,local_lat_median_us,local_lat_p95_us,remote_lat_median_us,remote_lat_p95_us
immediate_response,0,"n23m0123.hpc.itc.rwth-aachen.de",0,4,2,2,4194304,50,1.40309,1.43066,1.46943,1.48993,1.54165,1.60369,1.69672,10.6333,10.6333,21.2667,1381.62,1549.75,1680.32,1162.25,1578.82,1400.91,1437.98
incast,0,"n23m0123.hpc.itc.rwth-aachen.de",0,8,4,4,4194304,50,1.48676,1.62155,1.71536,1.72259,1.81358,1.91617,1.94669,18.2177,0,18.2177,1346.25,1828.51,1929.82,1609.63,1861.71,1102.09,1434.23
fanout,0,"n23m0123.hpc.itc.rwth-aachen.de",0,8,4,4,4194304,50,0.752537,0.907952,0.963524,0.955804,1.00075,1.09015,1.11821,0,32.433,32.433,714.969,1074.14,1701.32,840.812,1181.95,703.562,722.396
full_duplex,0,"n23m0123.hpc.itc.rwth-aachen.de",0,8,4,4,4194304,50,2.11349,2.19624,2.2737,2.29446,2.3461,2.54067,2.63663,13.7441,13.7441,27.4882,1971.86,2300.19,2470.05,2007.11,2306.09,1913.43,2277.54
immediate_response,0,"n23m0123.hpc.itc.rwth-aachen.de",0,8,4,4,4194304,50,2.45848,2.60872,2.69178,2.70706,2.77708,2.91651,3.09328,11.6094,11.6094,23.2188,2190.11,2779.76,3076.12,2535.89,2876.24,1961.41,2261.37
incast,0,"n23m0123.hpc.itc.rwth-aachen.de",0,12,6,6,4194304,50,3.08399,3.45894,3.56105,3.52995,3.62645,3.71928,3.74911,13.1633,0,13.1633,2313.22,3582.26,3733.9,3360.54,3619.86,1927.75,2227.81
fanout,0,"n23m0123.hpc.itc.rwth-aachen.de",0,12,6,6,4194304,50,1.25718,1.43144,1.50209,1.50215,1.56907,1.6526,1.84194,0,31.2065,31.2065,1051.08,1448.22,1845.17,1289.11,1519.79,1040.64,1049.39
full_duplex,0,"n23m0123.hpc.itc.rwth-aachen.de",0,12,6,6,4194304,50,3.65151,3.94072,4.04379,4.02937,4.12481,4.19522,4.62874,11.5918,11.5918,23.1837,3330.54,3870.69,4367.66,3612.29,3932.43,3113.3,3640.77
immediate_response,0,"n23m0123.hpc.itc.rwth-aachen.de",0,12,6,6,4194304,50,4.42053,4.64648,4.8094,4.79701,4.92662,5.08614,5.34777,9.74653,9.74653,19.4931,3365.01,4903.13,5457.16,4525.24,4995.38,3023.64,3297.52
incast,0,"n23m0123.hpc.itc.rwth-aachen.de",0,16,8,8,4194304,50,5.27619,5.42291,5.47032,5.46284,5.51011,5.5675,5.61231,11.4253,0,11.4253,3604.35,5446.33,5591.58,5221.55,5486.18,2797.6,3474.92
fanout,0,"n23m0123.hpc.itc.rwth-aachen.de",0,16,8,8,4194304,50,1.93693,2.43494,2.75397,2.80919,3.08457,3.74023,4.13033,0,22.6945,22.6945,1385.59,2941.15,4127.93,2311.17,3351.16,1379.33,1382.82
