pattern,target_rank,target_host,target_cpu,target_ip,iface,active_workers,local_workers,remote_workers,payload_bytes,iters,makespan_min_ms,makespan_p25_ms,makespan_median_ms,makespan_mean_ms,makespan_p75_ms,makespan_p95_ms,makespan_max_ms,ingress_bw_median_gibs,egress_bw_median_gibs,combined_bw_median_gibs,worker_lat_median_us,worker_lat_p95_us,worker_lat_max_us,local_lat_median_us,local_lat_p95_us,remote_lat_median_us,remote_lat_p95_us
full_duplex,0,"n23m0223.hpc.itc.rwth-aachen.de",0,"134.61.46.53","ib0",4,2,2,4194304,50,6.94219,7.23523,7.36789,7.34829,7.49964,7.62438,7.7493,2.12069,2.12069,4.24137,6722.96,7633.71,8103.53,6968.27,7611.48,6371.76,7944.66
immediate_response,0,"n23m0223.hpc.itc.rwth-aachen.de",0,"134.61.46.53","ib0",4,2,2,4194304,50,7.15527,7.37945,7.57829,7.62345,7.80284,8.189,8.39603,2.06181,2.06181,4.12362,6494.07,8722.6,9145.69,6164.77,7635.43,7290.92,8801.27
incast,0,"n23m0223.hpc.itc.rwth-aachen.de",0,"134.61.46.53","ib0",8,4,4,4194304,50,7.4242,8.29756,9.02043,9.83227,11.8602,12.5017,12.6662,3.46436,0,3.46436,7443.87,11789.4,12660.5,7870.02,11797.2,6907.93,11608.6
fanout,0,"n23m0223.hpc.itc.rwth-aachen.de",0,"134.61.46.53","ib0",8,4,4,4194304,50,5.92469,6.08979,6.13572,6.16935,6.1907,6.40875,6.95619,0,5.09312,5.09312,3537.99,6130.32,6929.59,5310.52,6202.14,2746.06,3824.02
full_duplex,0,"n23m0223.hpc.itc.rwth-aachen.de",0,"134.61.46.53","ib0",8,4,4,4194304,50,14.0796,15.7328,16.5196,17.0908,18.6895,19.9243,20.2979,1.8917,1.8917,3.78339,14216.2,18948.2,20519.4,15656,19545.1,13016.4,16265.1
immediate_response,0,"n23m0223.hpc.itc.rwth-aachen.de",0,"134.61.46.53","ib0",8,4,4,4194304,50,14.0478,15.2327,16.1021,16.4814,18.0037,18.9297,19.1244,1.94075,1.94075,3.88149,12666.9,17901.1,19320.9,13956.5,18426.3,10873.6,17253.7
incast,0,"n23m0223.hpc.itc.rwth-aachen.de",0,"134.61.46.53","ib0",12,6,6,4194304,50,10.9979,12.6775,14.4437,14.7432,17.1202,18.4801,18.5118,3.24536,0,3.24536,11508.2,17003.2,18512.2,11260.5,17524.7,11795.8,16847.6
fanout,0,"n23m0223.hpc.itc.rwth-aachen.de",0,"134.61.46.53","ib0",12,6,6,4194304,50,7.0601,7.53447,7.87191,8.63422,9.40228,11.6191,12.5093,0,5.95472,5.95472,5038.72,9515.27,12493.1,6637.77,10579.3,4298.36,6253.49
full_duplex,0,"n23m0223.hpc.itc.rwth-aachen.de",0,"134.61.46.53","ib0",12,6,6,4194304,50,22.6591,23.7457,23.8428,23.7931,23.9941,24.3013,24.7319,1.966,1.966,3.932,20108.2,23849,24738.8,21716,24002.3,19432.1,21495.6
immediate_response,0,"n23m0223.hpc.itc.rwth-aachen.de",0,"134.61.46.53","ib0",12,6,6,4194304,50,22.7851,22.9098,23.0438,23.0832,23.1559,23.5246,23.7221,2.03417,2.03417,4.06833,18833.7,23037.9,23805.1,20148.1,23206.1,18507.8,21123.4
incast,0,"n23m0223.hpc.itc.rwth-aachen.de",0,"134.61.46.53","ib0",16,8,8,4194304,50,15.5732,18.1287,19.3237,19.6898,20.1294,25.1377,25.4306,3.23437,0,3.23437,15902.9,23163.8,25685.1,13538.5,23062.8,16801.9,23325.1
fanout,0,"n23m0223.hpc.itc.rwth-aachen.de",0,"134.61.46.53","ib0",16,8,8,4194304,50,10.0459,10.4497,10.8416,10.7416,10.9652,11.274,12.1288,0,5.76482,5.76482,7355.75,10577.3,12110.9,8515.98,10876.2,6693.54,9131.43
full_duplex,0,"n23m0223.hpc.itc.rwth-aachen.de",0,"134.61.46.53","ib0",16,8,8,4194304,50,26.2924,28.3779,31.9114,34.6623,39.3123,41.9484,102.084,1.95855,1.95855,3.9171,27107.1,38857.3,124171,27203.4,39704.7,26894.6,37035.4
immediate_response,0,"n23m0223.hpc.itc.rwth-aachen.de",0,"134.61.46.53","ib0",16,8,8,4194304,50,25.6245,27.1855,30.0587,31.4518,34.6743,41.7994,42.6215,2.07926,2.07926,4.15853,24212.2,37290.8,72931.1,21350.5,37377.2,24947.1,36927.2
