rank,hostname,cpu_id,cpu_affinity,cpu_numa_node,gpu_id,gpu_pci_bus_id,gpu_pci_numa_node,status,payload_bytes,payload_type,direction,iters,host_buf_numa_node,lat_min_us,lat_p25_us,lat_median_us,lat_p75_us,lat_iqr_us,lat_max_us,lat_mean_us,lat_stddev_us,bw_gibs_min,bw_gibs_p25,bw_gibs_median,bw_gibs_p75,bw_gibs_iqr,bw_gibs_max,bw_gibs_mean,bw_gibs_stddev,bw_gbps_median,gpu_dma_time_median_us
1,"n23g0021.hpc.itc.rwth-aachen.de",1,"1",0,1,0000:2c:00.0,2,"OK",268435456,"bandwidth","D2H",50,0,12096.1,12110.6,12118.7,12125.3,14.699,12138.6,12118.1,10.5311,20.5955,20.6181,20.6292,20.6431,0.0250248,20.6678,20.6303,0.0179289,22.1504,12112.3
1,"n23g0021.hpc.itc.rwth-aachen.de",1,"1",0,2,0000:9d:00.0,4,"OK",4096,"latency","H2D",50,0,14.418,16.0265,16.1865,16.4348,0.40825,26.98,16.517,1.77492,0.14139,0.232112,0.235672,0.238024,0.00591231,0.264579,0.23281,0.0175429,0.25305,8.736
1,"n23g0021.hpc.itc.rwth-aachen.de",1,"1",0,2,0000:9d:00.0,4,"OK",4096,"latency","D2H",50,0,14.731,15.489,16.0075,16.16,0.671,17.546,15.8844,0.518335,0.217411,0.236058,0.238307,0.246284,0.0102262,0.258957,0.240408,0.00781847,0.25588,8.624
1,"n23g0021.hpc.itc.rwth-aachen.de",1,"1",0,2,0000:9d:00.0,4,"OK",16777216,"bandwidth","H2D",50,0,832.296,840.127,843.716,845.941,5.81325,857.014,843.696,4.86913,18.2319,18.4706,18.5193,18.5984,0.127807,18.7734,18.5203,0.106614,19.8849,835.6
1,"n23g0021.hpc.itc.rwth-aachen.de",1,"1",0,2,0000:9d:00.0,4,"OK",16777216,"bandwidth","D2H",50,0,1714.79,1727.54,1732.31,1739.35,11.8035,1755.31,1734.49,9.64013,8.90154,8.98328,9.01972,9.04465,0.0613703,9.11191,9.00869,0.0499144,9.68486,1724.5
1,"n23g0021.hpc.itc.rwth-aachen.de",1,"1",0,2,0000:9d:00.0,4,"OK",67108864,"bandwidth","H2D",50,0,3254.97,3277.12,3287.38,3295.2,18.0777,3303.53,3285.78,11.76,18.9192,18.967,19.0121,19.0716,0.104629,19.2014,19.0216,0.068199,20.4141,3279.63
1,"n23g0021.hpc.itc.rwth-aachen.de",1,"1",0,2,0000:9d:00.0,4,"OK",67108864,"bandwidth","D2H",50,0,6134.85,6164.18,6171.55,6176.61,12.4325,6192.99,6171.18,11.3234,10.092,10.1188,10.1271,10.1392,0.0204086,10.1877,10.1277,0.0185973,10.8739,6163.22
1,"n23g0021.hpc.itc.rwth-aachen.de",1,"1",0,2,0000:9d:00.0,4,"OK",268435456,"bandwidth","H2D",50,0,11967.9,12395.3,12992.8,13232.6,837.294,13463.8,12831.5,474.432,18.5683,18.8927,19.2415,20.1689,1.27619,20.8892,19.5101,0.727091,20.6604,12985
1,"n23g0021.hpc.itc.rwth-aachen.de",1,"1",0,2,0000:9d:00.0,4,"OK",268435456,"bandwidth","D2H",50,0,20203.1,22127.8,22824.3,24915.4,2787.62,27814,23554.2,2058.05,8.98827,10.0339,10.954,11.298,1.26406,12.3744,10.6942,0.924746,11.7618,22816.5
1,"n23g0021.hpc.itc.rwth-aachen.de",1,"1",0,3,0000:ad:00.0,6,"OK",4096,"latency","H2D",50,0,14.777,15.582,15.79,16.0397,0.45775,18.466,15.8849,0.582222,0.20658,0.237828,0.241589,0.244814,0.0069866,0.258151,0.240449,0.00827522,0.259405,8.48
1,"n23g0021.hpc.itc.rwth-aachen.de",1,"1",0,3,0000:ad:00.0,6,"OK",4096,"latency","D2H",50,0,14.884,15.5265,15.7625,16.138,0.6115,32.836,16.5256,3.08671,0.116174,0.23638,0.242011,0.245689,0.00930938,0.256295,0.235619,0.0259804,0.259857,8.624
1,"n23g0021.hpc.itc.rwth-aachen.de",1,"1",0,3,0000:ad:00.0,6,"OK",16777216,"bandwidth","H2D",50,0,846.883,854.201,856.287,861.219,7.0185,871.269,857.544,5.05983,17.9336,18.1429,18.2474,18.292,0.149068,18.45,18.2213,0.107129,19.593,848.304
1,"n23g0021.hpc.itc.rwth-aachen.de",1,"1",0,3,0000:ad:00.0,6,"OK",16777216,"bandwidth","D2H",50,0,1720.61,1729.86,1734.61,1741.03,11.1722,1762.75,1736.44,10.2475,8.86401,8.97458,9.0078,9.03254,0.0579553,9.08108,8.99859,0.0528641,9.67206,1727.02
1,"n23g0021.hpc.itc.rwth-aachen.de",1,"1",0,3,0000:ad:00.0,6,"OK",67108864,"bandwidth","H2D",50,0,3308.48,3328.59,3335.42,3349.91,21.3173,3364.25,3337.81,14.0818,18.5777,18.6572,18.7383,18.7767,0.119486,18.8909,18.7252,0.0790156,20.1201,3327.47
1,"n23g0021.hpc.itc.rwth-aachen.de",1,"1",0,3,0000:ad:00.0,6,"OK",67108864,"bandwidth","D2H",50,0,6157.25,6177.52,6183.54,6192.08,14.5575,6212.32,6184.58,10.8118,10.0607,10.0935,10.1075,10.1173,0.0237857,10.1506,10.1058,0.0176617,10.8528,6176.08
1,"n23g0021.hpc.itc.rwth-aachen.de",1,"1",0,3,0000:ad:00.0,6,"OK",268435456,"bandwidth","H2D",50,0,12355.8,12739,13121.1,13719.5,980.561,13756.4,13151.4,500.163,18.1734,18.2222,19.0537,19.6248,1.40262,20.2334,19.037,0.725764,20.4588,13114.2
1,"n23g0021.hpc.itc.rwth-aachen.de",1,"1",0,3,0000:ad:00.0,6,"OK",268435456,"bandwidth","D2H",50,0,19644.5,22736.3,24925.8,25919.8,3183.46,27791.4,24691,2140.77,8.99558,9.6453,10.0298,10.9961,1.35079,12.7262,10.2055,0.931165,10.7694,24918.3
2,"n23g0021.hpc.itc.rwth-aachen.de",2,"2",0,0,0000:1b:00.0,0,"OK",4096,"latency","H2D",50,0,12.808,13.255,13.762,13.9882,0.73325,24.671,14.1254,1.90991,0.154623,0.272708,0.277191,0.287793,0.0150854,0.297837,0.273294,0.0243417,0.297631,7.536
2,"n23g0021.hpc.itc.rwth-aachen.de",2,"2",0,0,0000:1b:00.0,0,"OK",4096,"latency","D2H",50,0,12.487,12.905,13.293,13.6188,0.71375,14.579,13.3028,0.491903,0.261657,0.280106,0.28697,0.295598,0.0154921,0.305493,0.287147,0.0105194,0.308132,7.024
2,"n23g0021.hpc.itc.rwth-aachen.de",2,"2",0,0,0000:1b:00.0,0,"OK",16777216,"bandwidth","H2D",50,0,344.034,537.15,615.879,678.032,140.882,846.789,616.544,96.9121,18.4521,23.0446,25.3703,29.112,6.06735,45.417,26.009,4.42414,27.2411,609.44
2,"n23g0021.hpc.itc.rwth-aachen.de",2,"2",0,0,0000:1b:00.0,0,"OK",16777216,"bandwidth","D2H",50,0,445.858,701.865,785.815,898.966,197.101,1154.56,810.286,146.606,13.5333,17.3811,19.884,22.2634,4.88231,35.0448,19.9346,3.75444,21.3503,776.352
2,"n23g0021.hpc.itc.rwth-aachen.de",2,"2",0,0,0000:1b:00.0,0,"OK",67108864,"bandwidth","H2D",50,0,1419.03,1497.93,1498.9,1501.18,3.24625,1504.83,1497.08,12.3132,41.533,41.634,41.6972,41.7242,0.0902274,44.0441,41.7508,0.35945,44.7721,1492.9
2,"n23g0021.hpc.itc.rwth-aachen.de",2,"2",0,0,0000:1b:00.0,0,"OK",67108864,"bandwidth","D2H",50,0,1787.26,1880.95,1885.36,1888.13,7.17375,1894.39,1881.28,19.5158,32.9922,33.1016,33.1502,33.2278,0.126246,34.9697,33.2259,0.360985,35.5948,1879.31
2,"n23g0021.hpc.itc.rwth-aachen.de",2,"2",0,0,0000:1b:00.0,0,"OK",268435456,"bandwidth","H2D",50,0,5952.21,5959.41,5963.33,5967.65,8.23725,5981.31,5963.62,6.07536,41.7969,41.8926,41.9229,41.9505,0.0579046,42.0012,41.9209,0.0426892,45.0144,5957.22
2,"n23g0021.hpc.itc.rwth-aachen.de",2,"2",0,0,0000:1b:00.0,0,"OK",268435456,"bandwidth","D2H",50,0,7524.76,7533.16,7538.42,7542.36,9.20175,7552.65,7538.32,6.53867,33.101,33.1461,33.1635,33.1866,0.0404881,33.2236,33.1639,0.0287617,35.609,7532.48
2,"n23g0021.hpc.itc.rwth-aachen.de",2,"2",0,1,0000:2c:00.0,2,"OK",4096,"latency","H2D",50,0,12.945,13.2995,13.7365,13.9915,0.692,21.71,13.8895,1.2916,0.175712,0.272644,0.277705,0.28683,0.0141862,0.294685,0.27634,0.0184749,0.298184,7.376
2,"n23g0021.hpc.itc.rwth-aachen.de",2,"2",0,1,0000:2c:00.0,2,"OK",4096,"latency","D2H",50,0,12.259,13.1768,13.4485,13.6432,0.4665,14.432,13.4312,0.418993,0.264322,0.279603,0.283652,0.289505,0.00990153,0.311175,0.284295,0.00890242,0.304569,7.104
2,"n23g0021.hpc.itc.rwth-aachen.de",2,"2",0,1,0000:2c:00.0,2,"OK",16777216,"bandwidth","H2D",50,0,704.879,721.239,820.338,970.009,248.769,1241.98,850.913,143.888,12.5807,16.1211,19.047,21.6815,5.5604,22.1669,18.8421,2.86537,20.4516,813.744
2,"n23g0021.hpc.itc.rwth-aachen.de",2,"2",0,1,0000:2c:00.0,2,"OK",16777216,"bandwidth","D2H",50,0,981.266,1027.05,1150.64,1369.72,342.677,1658.77,1192.74,195.807,9.41965,11.4074,13.5794,15.2176,3.81016,15.9233,13.4311,2.03351,14.5807,1144.22
2,"n23g0021.hpc.itc.rwth-aachen.de",2,"2",0,1,0000:2c:00.0,2,"OK",67108864,"bandwidth","H2D",50,0,2069.81,2179.38,2180.76,2182.51,3.12975,2468.51,2188.63,65.2759,25.3189,28.6367,28.6598,28.6778,0.0411241,30.1961,28.5803,0.791556,30.7732,2174.37
2,"n23g0021.hpc.itc.rwth-aachen.de",2,"2",0,1,0000:2c:00.0,2,"OK",67108864,"bandwidth","D2H",50,0,2882.09,3039.1,3042.28,3045.02,5.91725,3425.31,3045.17,88.2137,18.2465,20.5253,20.5438,20.5653,0.0399636,21.6856,20.5404,0.55659,22.0588,3035.82
2,"n23g0021.hpc.itc.rwth-aachen.de",2,"2",0,1,0000:2c:00.0,2,"OK",268435456,"bandwidth","H2D",50,0,8677.53,8686.51,8691.41,8694.43,7.9195,8705.21,8690.75,6.14439,28.7184,28.754,28.764,28.7803,0.0262151,28.81,28.7662,0.0203401,30.8851,8685.1
2,"n23g0021.hpc.itc.rwth-aachen.de",2,"2",0,1,0000:2c:00.0,2,"OK",268435456,"bandwidth","D2H",50,0,12099.1,12110.9,12115.4,12122.4,11.553,12133.4,12115.6,7.84198,20.6043,20.6229,20.6349,20.6426,0.019673,20.6626,20.6346,0.0133561,22.1565,12109
2,"n23g0021.hpc.itc.rwth-aachen.de",2,"2",0,2,0000:9d:00.0,4,"OK",4096,"latency","H2D",50,0,15.238,15.9625,16.1865,16.3745,0.412,28.315,16.4553,1.77828,0.134724,0.232966,0.235672,0.238979,0.00601298,0.250341,0.23352,0.0159679,0.25305,8.704
