rank_i,host_i,cpu_i,affinity_i,ip_i,rank_j,host_j,cpu_j,affinity_j,ip_j,iface,small_bytes,large_bytes,warmup,iters,connect_us,latency_min_us,latency_mean_us,latency_median_us,latency_max_us,bandwidth_median_gibs,bandwidth_mean_gibs
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,71,"n23m0123.hpc.itc.rwth-aachen.de",71,"71",134.61.45.208,ib0,64,4194304,10,50,155.075,18.259,20.5495,20.0542,26.152,3.47225,3.43911
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,72,"n23m0123.hpc.itc.rwth-aachen.de",72,"72",134.61.45.208,ib0,64,4194304,10,50,123.758,15.4945,17.0915,16.6505,25.88,2.16744,2.22356
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,73,"n23m0123.hpc.itc.rwth-aachen.de",73,"73",134.61.45.208,ib0,64,4194304,10,50,168.273,20.6925,22.1793,21.703,31.477,2.1735,2.17109
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,74,"n23m0123.hpc.itc.rwth-aachen.de",74,"74",134.61.45.208,ib0,64,4194304,10,50,174.36,20.776,22.1651,21.7182,30.883,2.14854,2.14161
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,75,"n23m0123.hpc.itc.rwth-aachen.de",75,"75",134.61.45.208,ib0,64,4194304,10,50,163.951,21.5455,22.6091,22.2345,27.074,3.33118,3.05847
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,76,"n23m0123.hpc.itc.rwth-aachen.de",76,"76",134.61.45.208,ib0,64,4194304,10,50,101.521,12.8775,14.9397,14.7302,18.7255,2.47113,2.54573
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,77,"n23m0123.hpc.itc.rwth-aachen.de",77,"77",134.61.45.208,ib0,64,4194304,10,50,148.652,21.1895,22.5641,22.2157,28.5115,2.19159,2.19136
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,78,"n23m0123.hpc.itc.rwth-aachen.de",78,"78",134.61.45.208,ib0,64,4194304,10,50,147.865,21.4985,22.8476,22.2058,33.992,2.26175,2.2618
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,79,"n23m0123.hpc.itc.rwth-aachen.de",79,"79",134.61.45.208,ib0,64,4194304,10,50,147.246,20.866,22.5674,22.2793,27.6845,2.61698,2.82452
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,80,"n23m0123.hpc.itc.rwth-aachen.de",80,"80",134.61.45.208,ib0,64,4194304,10,50,108.561,14.5665,15.462,15.1608,19.052,3.01286,2.99583
0,"n23m0123.hpc.itc.rwth-aachen.de",0,"0",134.61.45.208,81,"n23m0123.hpc.itc.rwth-aachen.de",81,"81",134.61.45.208,ib0,64,4194304,10,50,125.572,19.403,21.5801,21.1292,30.614,2.22575,2.22569
