pattern,target_rank,target_host,worker_rank,worker_host,worker_cpu,worker_affinity,locality_tier,payload_bytes,iters,lat_min_us,lat_p25_us,lat_median_us,lat_mean_us,lat_p75_us,lat_p95_us,lat_max_us
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",106,"r23m0124.hpc.itc.rwth-aachen.de",10,"10","cross_node",4194304,20,12439.4,16261.2,24731.8,26861.7,31467.4,56208.4,56485.5
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",107,"r23m0124.hpc.itc.rwth-aachen.de",11,"11","cross_node",4194304,20,12876.3,19832.2,22865.3,28212.7,34697.7,51895.3,56613.1
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",108,"r23m0124.hpc.itc.rwth-aachen.de",12,"12","cross_node",4194304,20,12742.7,17800.4,28723.8,30981.3,39167.4,56735.9,57173.7
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",109,"r23m0124.hpc.itc.rwth-aachen.de",13,"13","cross_node",4194304,20,13780.8,18889.1,33534.3,34265.6,49292.2,55813.7,56839.9
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",110,"r23m0124.hpc.itc.rwth-aachen.de",14,"14","cross_node",4194304,20,12580,22067.7,25869.3,29008.6,36962.8,42002.3,56967.4
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",111,"r23m0124.hpc.itc.rwth-aachen.de",15,"15","cross_node",4194304,20,21356.1,34427,48765.7,46578.4,57037.4,59728.6,60580
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",112,"r23m0124.hpc.itc.rwth-aachen.de",16,"16","cross_node",4194304,20,21173.1,34018.4,46174,44486.7,54569.3,57385.6,61054.8
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",113,"r23m0124.hpc.itc.rwth-aachen.de",17,"17","cross_node",4194304,20,21635.6,28487.3,33409.4,36480.3,45126.9,57323.5,57872.8
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",114,"r23m0124.hpc.itc.rwth-aachen.de",18,"18","cross_node",4194304,20,21786.7,28516,35847.6,37385.9,46200.4,53937.3,57391.7
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",115,"r23m0124.hpc.itc.rwth-aachen.de",19,"19","cross_node",4194304,20,26179.6,35814.4,40741.7,41158.1,45919.4,57505.1,57937.7
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",116,"r23m0124.hpc.itc.rwth-aachen.de",20,"20","cross_node",4194304,20,17397.2,32065.3,36836.5,38830.4,49794.5,57341.8,57574.1
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",117,"r23m0124.hpc.itc.rwth-aachen.de",21,"21","cross_node",4194304,20,13124.2,36952.2,43289,41550.5,50338,53411.8,57667.7
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",118,"r23m0124.hpc.itc.rwth-aachen.de",22,"22","cross_node",4194304,20,13555.8,36648.7,47521,43871,54576.8,58576.7,61071.5
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",119,"r23m0124.hpc.itc.rwth-aachen.de",23,"23","cross_node",4194304,20,21120,39200.4,49714.3,46730.3,57340.4,60606.9,61371.1
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",120,"r23m0124.hpc.itc.rwth-aachen.de",24,"24","cross_node",4194304,20,16249.8,38967,52636.7,47104.3,56938.3,60064.7,62988
