pattern,target_rank,target_host,worker_rank,worker_host,worker_cpu,worker_affinity,worker_ip,locality_tier,iface,payload_bytes,iters,lat_min_us,lat_p25_us,lat_median_us,lat_mean_us,lat_p75_us,lat_p95_us,lat_max_us
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",101,"r23m0124.hpc.itc.rwth-aachen.de",5,"5","134.61.44.214","cross_node","ib0",4194304,20,81469.3,163642,187532,169464,202075,210785,212800
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",102,"r23m0124.hpc.itc.rwth-aachen.de",6,"6","134.61.44.214","cross_node","ib0",4194304,20,81302.2,158950,171407,155579,176711,188448,190719
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",103,"r23m0124.hpc.itc.rwth-aachen.de",7,"7","134.61.44.214","cross_node","ib0",4194304,20,187054,199594,204062,202824,207407,212367,213225
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",104,"r23m0124.hpc.itc.rwth-aachen.de",8,"8","134.61.44.214","cross_node","ib0",4194304,20,84274.5,169493,178988,172734,184665,188930,191746
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",105,"r23m0124.hpc.itc.rwth-aachen.de",9,"9","134.61.44.214","cross_node","ib0",4194304,20,79442.3,86966.8,170930,144941,200060,202726,210893
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",106,"r23m0124.hpc.itc.rwth-aachen.de",10,"10","134.61.44.214","cross_node","ib0",4194304,20,194983,202973,207146,206593,209746,213346,216606
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",107,"r23m0124.hpc.itc.rwth-aachen.de",11,"11","134.61.44.214","cross_node","ib0",4194304,20,84403.2,88643.4,171278,146421,181224,190026,190039
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",108,"r23m0124.hpc.itc.rwth-aachen.de",12,"12","134.61.44.214","cross_node","ib0",4194304,20,83509.5,92848.6,170117,158722,201416,221162,303019
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",109,"r23m0124.hpc.itc.rwth-aachen.de",13,"13","134.61.44.214","cross_node","ib0",4194304,20,84837.3,88239.1,95848.5,138123,201918,207894,212821
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",110,"r23m0124.hpc.itc.rwth-aachen.de",14,"14","134.61.44.214","cross_node","ib0",4194304,20,87879.9,170055,184386,172579,205153,209627,217076
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",111,"r23m0124.hpc.itc.rwth-aachen.de",15,"15","134.61.44.214","cross_node","ib0",4194304,20,164477,178157,181417,181882,186069,190857,193052
1_incast_191to1,0,"n23m0123.hpc.itc.rwth-aachen.de",112,"r23m0124.hpc.itc.rwth-aachen.de",16,"16","134.61.44.214","cross_node","ib0",4194304,20,180027,199924,202545,201138,207380,209046,209283
