rank,hostname,cpu,affinity,gpu_id,pci_bus_id,status,small_bytes,large_bytes,iters,h2d_lat_min_us,h2d_lat_median_us,h2d_lat_mean_us,d2h_lat_min_us,d2h_lat_median_us,d2h_lat_mean_us,h2d_bw_median_gbps,d2h_bw_median_gbps
16,"n23g0012.hpc.itc.rwth-aachen.de",16,"16",0,0000:1b:00.0,"OK",4096,16777216,20,10.857,11.326,11.3367,10.98,11.449,11.4271,14.6718,14.6166
16,"n23g0012.hpc.itc.rwth-aachen.de",16,"16",1,0000:2c:00.0,"OK",4096,16777216,20,11.136,11.849,12.8117,11.316,11.82,11.811,10.3195,13.1648
16,"n23g0012.hpc.itc.rwth-aachen.de",16,"16",2,0000:9d:00.0,"OK",4096,16777216,20,12.069,12.6045,13.2422,12.068,12.671,12.6365,18.7443,9.85683
16,"n23g0012.hpc.itc.rwth-aachen.de",16,"16",3,0000:ad:00.0,"OK",4096,16777216,20,12.186,12.6375,12.6296,12.194,12.843,13.2885,18.8078,9.14172
17,"n23g0012.hpc.itc.rwth-aachen.de",17,"17",0,0000:1b:00.0,"OK",4096,16777216,20,10.708,11.308,11.4049,10.967,11.446,11.4213,14.6651,14.7674
17,"n23g0012.hpc.itc.rwth-aachen.de",17,"17",1,0000:2c:00.0,"OK",4096,16777216,20,11.188,11.8715,11.8838,11.246,11.8475,11.8105,10.3144,13.5187
17,"n23g0012.hpc.itc.rwth-aachen.de",17,"17",2,0000:9d:00.0,"OK",4096,16777216,20,11.941,12.5485,12.5495,12.283,12.657,13.0734,18.8959,9.68591
17,"n23g0012.hpc.itc.rwth-aachen.de",17,"17",3,0000:ad:00.0,"OK",4096,16777216,20,12.246,12.716,12.7744,12.171,12.8165,12.7674,18.5825,9.85417
18,"n23g0012.hpc.itc.rwth-aachen.de",18,"18",0,0000:1b:00.0,"OK",4096,16777216,20,10.953,11.545,11.5197,10.873,11.4935,11.4717,14.6565,15.5544
18,"n23g0012.hpc.itc.rwth-aachen.de",18,"18",1,0000:2c:00.0,"OK",4096,16777216,20,11.512,11.828,11.8465,11.391,11.7395,11.7644,10.344,13.5891
18,"n23g0012.hpc.itc.rwth-aachen.de",18,"18",2,0000:9d:00.0,"OK",4096,16777216,20,12.038,12.52,12.5835,12.112,12.609,12.6169,18.9571,9.79703
18,"n23g0012.hpc.itc.rwth-aachen.de",18,"18",3,0000:ad:00.0,"OK",4096,16777216,20,12.335,12.71,13.6022,12.146,12.7475,12.8115,18.7625,10.0703
19,"n23g0012.hpc.itc.rwth-aachen.de",19,"19",0,0000:1b:00.0,"OK",4096,16777216,20,10.892,11.4455,11.4482,10.925,11.473,11.441,14.6758,15.6706
19,"n23g0012.hpc.itc.rwth-aachen.de",19,"19",1,0000:2c:00.0,"OK",4096,16777216,20,10.964,11.603,11.6236,11.416,11.6725,12.6849,10.3383,13.5628
19,"n23g0012.hpc.itc.rwth-aachen.de",19,"19",2,0000:9d:00.0,"OK",4096,16777216,20,12.055,12.494,12.9499,12.07,12.4835,12.4916,18.7408,9.75806
19,"n23g0012.hpc.itc.rwth-aachen.de",19,"19",3,0000:ad:00.0,"OK",4096,16777216,20,12.024,12.4315,12.4451,12.424,12.852,12.8348,18.7821,9.9711
20,"n23g0012.hpc.itc.rwth-aachen.de",20,"20",0,0000:1b:00.0,"OK",4096,16777216,20,10.965,11.255,11.3192,11,11.331,11.3545,14.6675,14.9494
20,"n23g0012.hpc.itc.rwth-aachen.de",20,"20",1,0000:2c:00.0,"OK",4096,16777216,20,11.409,11.98,11.9715,11.259,11.7865,11.7799,10.3624,13.6171
20,"n23g0012.hpc.itc.rwth-aachen.de",20,"20",2,0000:9d:00.0,"OK",4096,16777216,20,12.109,12.648,12.6956,12.057,12.5705,13.4274,19.036,10.016
20,"n23g0012.hpc.itc.rwth-aachen.de",20,"20",3,0000:ad:00.0,"OK",4096,16777216,20,12.235,12.6925,12.6818,12.419,12.948,12.8951,18.6387,9.87993
21,"n23g0012.hpc.itc.rwth-aachen.de",21,"21",0,0000:1b:00.0,"OK",4096,16777216,20,10.719,11.523,11.6829,11.137,11.592,11.5321,14.6439,15.5565
