rank_i,host_i,cpu_i,affinity_i,rank_j,host_j,cpu_j,affinity_j,small_bytes,large_bytes,warmup,iters,latency_min_us,latency_mean_us,latency_median_us,latency_max_us,bandwidth_median_gbps,bandwidth_mean_gbps
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",64,"n23m0350.hpc.itc.rwth-aachen.de",64,"64",64,6220800,5,10,0.435,1.08495,1.18175,1.299,12.2201,12.2189
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",65,"n23m0350.hpc.itc.rwth-aachen.de",65,"65",64,6220800,5,10,0.585,0.9445,0.9455,1.277,12.3094,12.2925
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",66,"n23m0350.hpc.itc.rwth-aachen.de",66,"66",64,6220800,5,10,0.5885,0.94125,0.903,1.212,12.1303,12.1257
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",67,"n23m0350.hpc.itc.rwth-aachen.de",67,"67",64,6220800,5,10,0.9425,1.11515,1.1075,1.512,12.3697,12.3349
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",68,"n23m0350.hpc.itc.rwth-aachen.de",68,"68",64,6220800,5,10,0.745,1.13685,1.2075,1.4975,12.1903,12.2059
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",69,"n23m0350.hpc.itc.rwth-aachen.de",69,"69",64,6220800,5,10,0.4975,0.94815,0.9325,1.4065,10.9368,11.0215
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",70,"n23m0350.hpc.itc.rwth-aachen.de",70,"70",64,6220800,5,10,0.609,0.8772,0.824,1.191,12.3542,12.3599
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",71,"n23m0350.hpc.itc.rwth-aachen.de",71,"71",64,6220800,5,10,0.5045,0.98355,0.9485,1.56,12.1107,12.2122
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",72,"n23m0350.hpc.itc.rwth-aachen.de",72,"72",64,6220800,5,10,0.8265,1.0516,1.104,1.288,12.2479,12.2892
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",73,"n23m0350.hpc.itc.rwth-aachen.de",73,"73",64,6220800,5,10,0.7015,0.99165,1.00725,1.2815,12.0673,12.0033
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",74,"n23m0350.hpc.itc.rwth-aachen.de",74,"74",64,6220800,5,10,0.4295,1.19905,1.06825,4.126,12.0417,12.018
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",75,"n23m0350.hpc.itc.rwth-aachen.de",75,"75",64,6220800,5,10,0.7405,1.09635,1.15125,1.521,12.0304,12.0551
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",76,"n23m0350.hpc.itc.rwth-aachen.de",76,"76",64,6220800,5,10,0.421,0.95025,1.07625,1.219,12.34,12.4085
0,"n23m0350.hpc.itc.rwth-aachen.de",0,"0",77,"n23m0350.hpc.itc.rwth-aachen.de",77,"77",64,6220800,5,10,0.368,0.939,0.9925,1.4895,12.4578,12.4721
